index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172207,1484295727.17331,1,14,3.16227766016838,-86,Far
2,20170113_172208,1484295728.16122,1,14,3.47972795006398,-87,Far
3,20170113_172209,1484295729.15904,1,14,3.12898269336996,-85,Far
4,20170113_172210,1484295730.16341,1,14,2.86266699158053,-84,Far
5,20170113_172211,1484295731.16340,1,14,2.94178896442525,-86,Far
6,20170113_172212,1484295732.15950,1,14,3.16831026200254,-88,Far
6,20170113_172212,1484295732.15950,1,19,4.08423865267452,-88,Far
7,20170113_172213,1484295733.15943,1,14,3.42583290069614,-89,Far
7,20170113_172213,1484295733.15943,1,19,4.08423861687013,-88,Far
8,20170113_172214,1484295734.16006,1,14,3.63891738014625,-89,Far
8,20170113_172214,1484295734.16006,1,19,4.0842385822367,-88,Far
9,20170113_172215,1484295735.15909,1,14,3.72571146772836,-88,Far
9,20170113_172215,1484295735.15909,1,19,4.24789178973805,-89,Far
10,20170113_172216,1484295736.16183,1,14,3.79459310298569,-88,Far
10,20170113_172216,1484295736.16183,1,19,4.20312018568822,-88,Far
11,20170113_172217,1484295737.16288,1,14,3.64732891714948,-86,Far
11,20170113_172217,1484295737.16288,1,19,4.29863772853279,-89,Far
12,20170113_172218,1484295738.16242,1,19,-1.0,0,<Unknown>
12,20170113_172218,1484295738.16242,1,14,3.53876751391365,-86,Far
13,20170113_172219,1484295739.16381,1,19,-1.0,0,<Unknown>
13,20170113_172219,1484295739.16381,1,14,3.24989500829012,-84,Far
14,20170113_172220,1484295740.15911,1,19,-1.0,0,<Unknown>
14,20170113_172220,1484295740.15911,1,14,3.31405610483809,-87,Far
15,20170113_172221,1484295741.16227,1,19,-1.0,0,<Unknown>
15,20170113_172221,1484295741.16227,1,14,3.19038269720787,-85,Far
16,20170113_172222,1484295742.16339,1,19,-1.0,0,<Unknown>
16,20170113_172222,1484295742.16339,1,14,3.09726051306647,-85,Far
17,20170113_172223,1484295743.16042,1,19,-1.0,0,<Unknown>
17,20170113_172223,1484295743.16042,1,14,2.93584171077739,-84,Far
18,20170113_172224,1484295744.16379,1,19,-1.0,0,<Unknown>
18,20170113_172224,1484295744.16379,1,14,2.90217339798235,-85,Far
19,20170113_172225,1484295745.16384,1,19,-1.0,0,<Unknown>
19,20170113_172225,1484295745.16384,1,14,2.87579115106612,-85,Far
20,20170113_172226,1484295746.16178,1,14,2.48808032447015,-81,Far
21,20170113_172227,1484295747.16176,1,14,2.24330565910954,-81,Far
22,20170113_172228,1484295748.16419,1,14,2.50369032230273,-88,Far
22,20170113_172228,1484295748.16419,1,20,3.59381366380463,-87,Far
22,20170113_172228,1484295748.16419,1,15,4.64158883361278,-89,Far
23,20170113_172229,1484295749.16445,1,14,-1.0,0,<Unknown>
23,20170113_172229,1484295749.16445,1,20,3.26595549168505,-86,Far
23,20170113_172229,1484295749.16445,1,15,4.64158878741875,-89,Far
24,20170113_172230,1484295750.16436,1,14,-1.0,0,<Unknown>
24,20170113_172230,1484295750.16436,1,15,-1.0,0,<Unknown>
24,20170113_172230,1484295750.16436,1,20,3.03350601198169,-85,Far
25,20170113_172231,1484295751.16229,1,15,-1.0,0,<Unknown>
25,20170113_172231,1484295751.16229,1,14,2.74987103066776,-88,Far
25,20170113_172231,1484295751.16229,1,20,2.9451158977348,-85,Far
26,20170113_172232,1484295752.16265,1,15,-1.0,0,<Unknown>
26,20170113_172232,1484295752.16265,1,20,2.89744903758662,-85,Far
26,20170113_172232,1484295752.16265,1,14,3.07113716277405,-87,Far
27,20170113_172233,1484295753.16420,1,14,-1.0,0,<Unknown>
27,20170113_172233,1484295753.16420,1,15,-1.0,0,<Unknown>
